Datetime,Location,Text,Like Count
2020-03-11 23:58:37+00:00,Illinois,"@_kaelanoel_ @MarthaMihalick *takes bow* glad to be of service. 

If I were *really* in the zone, the note would be: ""Corona is a beer. Coronavirus is a family of viruses. SARS-CoV-2 is proper, but I concede a mouthful. Can we say COVID19 here? Another option is Covid.""",2
2020-03-11 23:50:30+00:00,"Chicago, IL","Dear Parents and Guardians,
The health and safety of our students and staff is our top priority at Noble, so I am writing to you today to share the latest information we have related to the Coronavirus Disease 2019 (COVID-19).
We are monitoring the situation closely and continue https://t.co/ex8anf6Yjw",0
2020-03-11 23:30:16+00:00,"Chicago, IL",University of Illinois system classes migrating to online delivery to limit spread of COVID-19.  https://t.co/REStsCUSZT,5
2020-03-11 23:18:46+00:00,"Fort Lauderdale, FL",Can’t believe they are canceling the St Patrick’s Day river dying parade in Chicago due to COVID-19 that big news around here,19
2020-03-11 23:15:12+00:00,The Chi,"@advocatehealth While washing my hands in a bathroom at a major hospital in Oaklawn, an employee walks out of the toilet stall and out of the door. She didn’t wash her hands. Let’s do better #WashYourHands #hospitalworkers #COVID19 #advocatehospitals #coronavirus #healthcare https://t.co/0EvzoErYlt",0
2020-03-11 22:00:56+00:00,"Long Beach, CA",Me deleting another COVID-19 corporate email from my inbox https://t.co/dVo0Y6vRU8,11
2020-03-11 21:58:28+00:00,United States,"“. . non-drug products promoted to mitigate, prevent, treat, diagnose, or cure diseases such as COVID-19 are unapproved new drugs in violation of the Federal Food, Drug &amp; Cosmetic Act (FD &amp; C Act).” @natlawreview @US_FDA @FTC #COVIDー19 #CoronaVirus #CoronaVirusFakeCures #Fraud https://t.co/aCfCSf8QuG",0
2020-03-11 21:50:17+00:00,"Chicago, IL",It’s hard being pregnant during the COVID-19 scare. Is my shortness of breath because of coronavirus or because fetus is crowding my lungs? The world may never know.,6
2020-03-11 21:09:14+00:00,"Chicago, IL",#coronavirus #COVID19 https://t.co/eeYXvfSgqc,0
2020-03-11 21:02:30+00:00,,"The U.S. is SERIOUSLY behind  in #COVID19 testing-&gt; needed for
-&gt; knowing where virus is
-&gt; extent of spread &amp; trends
-&gt; case finding, contact tracing
-&gt; whether schools, other places shld be closed, for how long
-&gt; local transmission dynamics
-&gt; what more you urgently do. https://t.co/3sLUMQYVX6",10
2020-03-11 20:44:04+00:00,Chicago,@jonathandoster @MLB @Cubs Fine. This was @jonathandoster's idea. But he's a @whitesox fan.  So he can be the only fan at that Sox stadium - covid-19 or not.,1
2020-03-11 20:37:46+00:00,"Springfield, IL",Why was COVID-19 not around when I was in college? Unfair. https://t.co/l8hVhtogj6,6
2020-03-11 20:23:40+00:00,"Chicago, IL","We’re at the point in Illinois where each new #COVID19 case is no longer “breaking news” (see WA and NY) 

Now we start use a wider lens: 

How quickly are confirmed #coronavirus cases in Illinois growing?

@cbschicago https://t.co/4Cwo5gLG8Q https://t.co/e9TSTagrL0",8
2020-03-11 20:11:29+00:00,"Chicago, Illinois","BREAKING NEWS: The Chicago Flower and Garden Show has been cancelled due to The World Health Organization declaring COVID-19, the Coronavirus, to be a global pandemic. @ Chicago, Illinois https://t.co/q0sqQ34yqb",0
2020-03-11 19:57:28+00:00,Lake Barrington ,"COVID-19 Got you down? Need to see a Doctor? Don’t want to be exposed to others who might have symptoms of COVID-19? Call 1.800MD!

https://t.co/iOkBClE4BC

Access a board certified physician 24/7/365 for your medical needs from the privacy of your own home. 
Call 1.800MD Today!",0
2020-03-11 19:36:11+00:00,,"Not a good time to be working in the #serviceindustry.
Understandable, my husbands shifts keep getting cut  @Marriott on the Chicago Mag Mile. Anybody else experiencing this? What ya’ll doing to secure funds? #Chicago #chicagomagmile #COVID19 #coronavirus #CoronavirusOutbreak https://t.co/Pyg4H2RxiY",0
2020-03-11 19:35:10+00:00,"Chicago, IL",MAN DOWN!!! #handsanitizer #COVID19 #coronavirus https://t.co/CelDrmJpnQ,0
2020-03-11 19:34:32+00:00,,You know Covid-19 is serious when you start getting bricks of rice at @ChipotleTweets https://t.co/hxAxAw938u,0
2020-03-11 19:34:31+00:00,South Loop,That’s ok COVID-19 taking care of that https://t.co/bt2GRO1sTX,0
2020-03-11 19:28:18+00:00,The Hot Zone,"It's official as we suspect #COVID19  has turned into a #pandemic . What does it mean? More caution and common sense needed. This virus is NOT a test of our immune systems. 

It IS a test of our systems of care- something we have neglected for sometime in the US. https://t.co/WLRVHtbkDl",7
2020-03-11 19:26:22+00:00,Chicago,we are focused on washing hands and not touching our face but what about your phone? its important to keep phone wiped down with disinfectant wipe or not sit it down in public areas #COVID19 #coronavirus,0
2020-03-11 18:54:34+00:00,"Chicago, IL","@luke_mo_ *trailer announcer’s voice* “In a virus-plagued world, one humble welder rose to become...THE COVID KING”",0
2020-03-11 18:52:58+00:00,"Chicago, IL",يا عالم يا بشر، #فيروس_كورونا #خليك_بالبيت #لبنان #صحتكم_أمانة #صحتك_مسؤليتك #احمي_عيلتك . الحماية أبدى من العلاج. غسل اليدين، ما تضهر من البيت الأبيض عند الضرورة. و فكر بجارك، لانوا إذا اشتريت كل الصابون و المعقم ، و الماسك كيف سوف تحمي نفسك؟ #COVID19 #coronavirus,1
2020-03-11 18:39:06+00:00,Chicagoland ,"Coronavirus downtown: COVID-19 case at Prudential Plaza; nearby buildings alert tenants, employees https://t.co/wUUeyyHya1",0
2020-03-11 18:28:03+00:00,"Chicago, IL",COVID-19 and ASM-100 in Boulder https://t.co/FqFJiJWYT8 via @wordpressdotcom,3
2020-03-11 18:26:40+00:00,"Chicago, IL","-If #WrestleMania gets cancelled because of #coronavirus, I hope EVERYONE catches it. Everyone!!! Screw you! #COVID19 #CancelCoronaVirus",0
2020-03-11 18:24:44+00:00,United States,"@TimRunsHisMouth Hysteria, paranoia and hoarding. To put the 27 US COVID-19 deaths in perspective, 30,000 people die in the US each year in car accidents, 1,000,000 worldwide. This is a very serious illness, but the biggest threat to our country right now is panic.",0
2020-03-11 18:22:27+00:00,"Riverside, IL, USA","Poster and FAQ sheet with Information for Screening and Management of COVID-19 in the Outpatient Dialysis Facility from @ASNKidney 
#nCoV2019 #COVID19 #COVID2019 #CoronaKidney 
👉🏼 Poster https://t.co/VGrN0MiS9J
👉🏼 FAQ https://t.co/OBGZE5Uo7S https://t.co/Ude5n0qKi3",8
2020-03-11 18:18:01+00:00,"Riverside, IL, USA","COVID-19 Information for Providers of Dialysis Services from @ASNKidney 
#nCoV19 #COVID19 #COVID2019 #CoronaKidney
👉🏼 REGISTRATION https://t.co/MbsyiKk0hD https://t.co/gskwyK1xL5",6
2020-03-11 18:16:07+00:00,"Riverside, IL, USA","Coronavirus Disease 2019 (COVID-19): FAQs for Transplant Recipients from @AST_info 
#nCoV19 #COVID19 #COVID2019 #CoronaKidney 
📌 Last updated March 9, 2020 
👉🏼 https://t.co/L3vA9B6nln https://t.co/uN5pOMbN20",10
2020-03-11 18:12:13+00:00,"Riverside, IL, USA","The Novel Coronavirus 2019 Epidemic and Kidneys ca. 2020 

“Postulated” mechanisms: 
👉🏼 Sepsis leading to cytokine storm syndrome
👉🏼 Direct cellular injury due to the virus

#nCoV19 #nCoV2019 #COVID2019 #COVID19 #CoronaKidney 
👉🏼 https://t.co/SdcBnRASAj https://t.co/Wwto3yYEBr",351
2020-03-11 18:05:56+00:00,"Chicago, IL",The University of Illinois at Chicago: Close the UIC Campus Due to Accelerating Presence of COVID-19 in Chicago - Sign the Petition! https://t.co/AcSpJAtlly via @Change,0
2020-03-11 17:40:08+00:00,"Chicago, IL",@JLSigman Oh it’s all I’ve been able to see on my feed besides E3/Covid-19 the past few hours...,1
2020-03-11 17:35:02+00:00,United States,@ErinBanco That’s only telling the sensational side of things. 98% of the people who get COVID-19 DO NOT DIE. This is what should be being emphasized to avoid a national panic.,0
2020-03-11 17:29:27+00:00,"Chicago, IL",COVID-19 better know when to back the hell off... aka do NOT get in my way of seeing Alex G at the Metro in a few weeks,4
2020-03-11 17:15:53+00:00,"Illinois, USA",Going up the escalator at the Addison stop (Wrigley Field) in the time of COVID-19 is... Interesting...,2
2020-03-11 17:14:08+00:00,"Chicago, IL","Sinai Health System is here to help you with answers to some common questions about the #coronavirus (COVID-19). Watch the video to hear from Dr. Lisa Russell, MD what you should know about #COVID19. https://t.co/TkAEpaqC1n. Visit our resource page: https://t.co/91BXd0rO7n. https://t.co/mjM2QjaSkq",2
2020-03-11 17:06:43+00:00,"Chicago, IL",Breaking: @WHO officially declares the #COVID19 #coronavirus as a pandemic https://t.co/45xYRARDTE,0
2020-03-11 16:56:54+00:00,Chicago,@kellyclarkson are you still going to hold residency in Vegas with this Corona Virus business? I have tickets to your show but haven’t bought plane tickets. I’m sure there are a lot of us. (Love you. Stay safe &amp; healthy!!) #COVID19 #coronavirus #whatdoesntkillyoumakesyoustronger?,0
2020-03-11 16:56:37+00:00,,Coronavirus: WHO classifies COVID-19 as a pandemic #Coronavirus https://t.co/HdMrpKMk5u,0
2020-03-11 16:53:11+00:00,,"#govegan #china #stopanimalcruelty Covid-19 : la Chine en profite pour s'attaquer au commerce illégal du pangolin, ""du niveau du trafic d’armes et de drogue"" https://t.co/4Tgi7BtOCT via @franceinfo",2
2020-03-11 16:51:55+00:00,CHI ✈️ MEMPHIS,"The World Health Organization has declared the novel coronavirus, and the disease it causes, COVID-19, a pandemic, making it a worldwide epidemic across dozens of countries on multiple continents.",1
2020-03-11 16:18:12+00:00,Where im supposed to be ,I’m aware everyone has to make money and make sure business don’t fall but today I saw a 3oz bottle of antibacterial gel in @7eleven for $5.99 USD. That is ridiculous. #coronavirus #COVID19,0
2020-03-11 16:00:05+00:00,,Coronavirus : l'article à lire pour tout comprendre au Covid-19 (et ne pas paniquer) https://t.co/amkDoBpzjd via @franceinfo,0
2020-03-11 15:32:24+00:00,"Illinois, USA","Here’s what I need to know: 

What is the plan for providing #COVID19 #coronavirus testing and treatment for the poor, working poor, and generally uninsured? And the homeless?

In remote areas with few health clinics, what is the plan to reach ppl there? #twill @GovPritzker",2
2020-03-11 15:18:57+00:00,"Chicago, IL",*gets press release from spirit airlines about COVID-19 precautions* *is more concerned that I could have gotten a flight for $100 less had I waited til now to buy tickets*,1
